"Date","Location","Population Type","Observations","Gender"
2018-03-31,"Auckland prison","Remand accused prisoners",108,"Male"
2018-03-31,"Auckland prison","Remand convicted prisoners",0,"Male"
2018-03-31,"Auckland prison","Sentenced prisoners",557,"Male"
2018-03-31,"Auckland prison","Onsite population",0,"Male"
2018-03-31,"Auckland prison","Offsite population",0,"Male"
2018-03-31,"Auckland prison","Total population",665,"Male"
2018-03-31,"Auckland prison","Population percentage",6.2,"Male"
2018-06-30,"Auckland prison","Remand accused prisoners",80,"Male"
2018-06-30,"Auckland prison","Remand convicted prisoners",0,"Male"
2018-06-30,"Auckland prison","Sentenced prisoners",538,"Male"
2018-06-30,"Auckland prison","Onsite population",0,"Male"
2018-06-30,"Auckland prison","Offsite population",0,"Male"
2018-06-30,"Auckland prison","Total population",618,"Male"
2018-06-30,"Auckland prison","Population percentage",5.9,"Male"
2018-09-30,"Auckland prison","Remand accused prisoners",56,"Male"
2018-09-30,"Auckland prison","Remand convicted prisoners",0,"Male"
2018-09-30,"Auckland prison","Sentenced prisoners",420,"Male"
2018-09-30,"Auckland prison","Onsite population",0,"Male"
2018-09-30,"Auckland prison","Offsite population",0,"Male"
2018-09-30,"Auckland prison","Total population",476,"Male"
2018-09-30,"Auckland prison","Population percentage",4.7,"Male"
2018-12-31,"Auckland prison","Remand accused prisoners",90,"Male"
2018-12-31,"Auckland prison","Remand convicted prisoners",0,"Male"
2018-12-31,"Auckland prison","Sentenced prisoners",438,"Male"
2018-12-31,"Auckland prison","Onsite population",0,"Male"
2018-12-31,"Auckland prison","Offsite population",0,"Male"
2018-12-31,"Auckland prison","Total population",528,"Male"
2018-12-31,"Auckland prison","Population percentage",5.4,"Male"
2019-03-31,"Auckland prison","Remand accused prisoners",113,"Male"
2019-03-31,"Auckland prison","Remand convicted prisoners",0,"Male"
2019-03-31,"Auckland prison","Sentenced prisoners",431,"Male"
2019-03-31,"Auckland prison","Onsite population",0,"Male"
2019-03-31,"Auckland prison","Offsite population",0,"Male"
2019-03-31,"Auckland prison","Total population",544,"Male"
2019-03-31,"Auckland prison","Population percentage",5.4,"Male"
2019-06-30,"Auckland prison","Remand accused prisoners",105,"Male"
2019-06-30,"Auckland prison","Remand convicted prisoners",0,"Male"
2019-06-30,"Auckland prison","Sentenced prisoners",413,"Male"
2019-06-30,"Auckland prison","Onsite population",0,"Male"
2019-06-30,"Auckland prison","Offsite population",0,"Male"
2019-06-30,"Auckland prison","Total population",518,"Male"
2019-06-30,"Auckland prison","Population percentage",5.2,"Male"
2019-09-30,"Auckland prison","Remand accused prisoners",133,"Male"
2019-09-30,"Auckland prison","Remand convicted prisoners",0,"Male"
2019-09-30,"Auckland prison","Sentenced prisoners",394,"Male"
2019-09-30,"Auckland prison","Onsite population",0,"Male"
2019-09-30,"Auckland prison","Offsite population",0,"Male"
2019-09-30,"Auckland prison","Total population",527,"Male"
2019-09-30,"Auckland prison","Population percentage",5.3,"Male"
2019-12-31,"Auckland prison","Remand accused prisoners",150,"Male"
2019-12-31,"Auckland prison","Remand convicted prisoners",0,"Male"
2019-12-31,"Auckland prison","Sentenced prisoners",389,"Male"
2019-12-31,"Auckland prison","Onsite population",0,"Male"
2019-12-31,"Auckland prison","Offsite population",0,"Male"
2019-12-31,"Auckland prison","Total population",539,"Male"
2019-12-31,"Auckland prison","Population percentage",5.5,"Male"
