"Date","Offense type","Observations"
2018-03-31,"Sexual Assault",19.2
2018-03-31,"Acts Intended To Cause Injury",0
2018-03-31,"Unlawful Entry With Intent/Burglary",12.2
2018-03-31,"Homicide",0
2018-03-31,"Illicit Drug Offences",0
2018-03-31,"Robbery, Extortion",0
2018-03-31,"Offences Against Justice",0
2018-03-31,"Theft",0
2018-03-31,"Abduction, Harassment",0
2018-03-31,"Prohibited And Regulated Weapons",0
2018-03-31,"Traffic",2.9
2018-03-31,"Fraud, Deception",0
2018-03-31,"Property Damage",1.3
2018-03-31,"Public Order",0
2018-03-31,"Dangerous Or Negligent Acts",0
2018-03-31,"Miscellaneous Offences",0
2018-03-31,"Unknown",0
2018-03-31,"Violence",38.6
2018-03-31,"Drugs",12.1
2018-03-31,"Dishonesty",5.6
2018-03-31,"Other",5
2018-03-31,"Weapons",1.7
2018-03-31,"Breaches",1.4
2018-06-30,"Sexual Assault",19.8
2018-06-30,"Acts Intended To Cause Injury",0
2018-06-30,"Unlawful Entry With Intent/Burglary",11.9
2018-06-30,"Homicide",0
2018-06-30,"Illicit Drug Offences",0
2018-06-30,"Robbery, Extortion",0
2018-06-30,"Offences Against Justice",0
2018-06-30,"Theft",0
2018-06-30,"Abduction, Harassment",0
2018-06-30,"Prohibited And Regulated Weapons",0
2018-06-30,"Traffic",2.9
2018-06-30,"Fraud, Deception",0
2018-06-30,"Property Damage",1.3
2018-06-30,"Public Order",0
2018-06-30,"Dangerous Or Negligent Acts",0
2018-06-30,"Miscellaneous Offences",0
2018-06-30,"Unknown",0
2018-06-30,"Violence",38.3
2018-06-30,"Drugs",12.3
2018-06-30,"Dishonesty",6
2018-06-30,"Other",4.7
2018-06-30,"Weapons",1.5
2018-06-30,"Breaches",1.3
2018-09-30,"Sexual Assault",20.2
2018-09-30,"Acts Intended To Cause Injury",0
2018-09-30,"Unlawful Entry With Intent/Burglary",11.2
2018-09-30,"Homicide",0
2018-09-30,"Illicit Drug Offences",0
2018-09-30,"Robbery, Extortion",0
2018-09-30,"Offences Against Justice",0
2018-09-30,"Theft",0
2018-09-30,"Abduction, Harassment",0
2018-09-30,"Prohibited And Regulated Weapons",0
2018-09-30,"Traffic",2.3
2018-09-30,"Fraud, Deception",0
2018-09-30,"Property Damage",1.2
2018-09-30,"Public Order",0
2018-09-30,"Dangerous Or Negligent Acts",0
2018-09-30,"Miscellaneous Offences",0
2018-09-30,"Unknown",0
2018-09-30,"Violence",39.3
2018-09-30,"Drugs",12.6
2018-09-30,"Dishonesty",6.2
2018-09-30,"Other",4.5
2018-09-30,"Weapons",1.4
2018-09-30,"Breaches",1.1
2018-12-31,"Sexual Assault",20.3
2018-12-31,"Acts Intended To Cause Injury",0
2018-12-31,"Unlawful Entry With Intent/Burglary",11
2018-12-31,"Homicide",0
2018-12-31,"Illicit Drug Offences",0
2018-12-31,"Robbery, Extortion",0
2018-12-31,"Offences Against Justice",0
2018-12-31,"Theft",0
2018-12-31,"Abduction, Harassment",0
2018-12-31,"Prohibited And Regulated Weapons",0
2018-12-31,"Traffic",2.2
2018-12-31,"Fraud, Deception",0
2018-12-31,"Property Damage",1.4
2018-12-31,"Public Order",0
2018-12-31,"Dangerous Or Negligent Acts",0
2018-12-31,"Miscellaneous Offences",0
2018-12-31,"Unknown",0
2018-12-31,"Violence",40.5
2018-12-31,"Drugs",12.1
2018-12-31,"Dishonesty",5.6
2018-12-31,"Other",4.3
2018-12-31,"Weapons",1.6
2018-12-31,"Breaches",1
2019-03-31,"Sexual Assault",19.5
2019-03-31,"Acts Intended To Cause Injury",0
2019-03-31,"Unlawful Entry With Intent/Burglary",11.7
2019-03-31,"Homicide",0
2019-03-31,"Illicit Drug Offences",0
2019-03-31,"Robbery, Extortion",0
2019-03-31,"Offences Against Justice",0
